state,county,area_land,area_water,longitude,latitude
42,035,2299868396,23178635,-77.63656491938517,41.23284761699168
51,075,726830014,21963167,-77.90376397741119,37.71714090964791
47,101,730614735,1024940,-87.49038389563832,35.52849585761982
47,113,1442901118,3930432,-88.84076035826696,35.61181957017905
48,255,1936008329,15671661,-97.85960148871176,28.907053341667346
27,083,1850315129,18794794,-95.83806102882903,44.4132786467482
47,135,1074185950,21034746,-87.8615090203475,35.63716005681963
47,147,1233648261,457701,-86.87346724958357,36.52454807125234
47,155,1534536725,13491055,-83.52262225051253,35.78103018656751
55,097,2074264258,56827212,-89.50156209283143,44.47558910558716
55,099,3247987660,62099137,-90.36098879883141,45.68051753987336
51,037,1231010119,5809378,-78.6631409247587,37.019097010021774
48,047,2443277013,741627,-98.21808402157217,27.031031972565856
55,033,2201905274,35570213,-91.8962506664664,44.94562720609878
17,075,2894067723,4209399,-87.82467862421915,40.747138467275676
13,181,544884788,121513274,-82.45024131227531,33.79201475365368
24,025,1132134727,231902988,-76.30775788737249,39.55010556218318
31,095,1476736212,14232352,-97.14260100412987,40.175845307887535
31,145,1857036462,2591016,-100.47699572301266,40.17556833052929
31,181,1489017963,337241,-98.50019850879222,40.17642643031211
39,017,1208541665,8820581,-84.57388716390808,39.44012838380084
17,191,1848948304,4224962,-88.42586174630283,38.42949547774109
19,107,1500056540,1944346,-92.17850669901321,41.33649832766573
17,199,1088263100,62602559,-88.92994027089006,37.73033511142702
12,049,1651329788,1439673,-81.80970592265878,27.492937012729865
13,187,732816473,3279685,-84.0042578489784,34.57288206258828
12,043,2089129695,466706483,-81.19051562936264,26.95567352640398
13,183,1037013502,8855056,-81.74952374652034,31.75218790904604
13,195,731225618,8461934,-83.212175780838,34.12920966915593
48,481,2813117310,21287759,-96.22319454811887,29.277660216665286
13,219,477412565,5295410,-83.43680841499169,33.83741263128906
13,225,389188326,2678496,-83.82946147779597,32.56933319093221
48,503,2368538309,42373290,-98.68790884927066,33.17659706969992
51,013,67333000,273562,-77.10139893461357,38.87676863161527
56,025,13831895231,91002382,-106.7978478955462,42.96158477659439
45,083,2092047951,29187170,-81.99239632100338,34.929515520397175
45,081,1172999243,23404411,-81.7271323737446,34.007958234378094
55,131,1115362189,12999404,-88.23245568148081,43.369561021600326
53,023,1841054898,19294817,-117.54540318333724,46.431975020332246
27,117,1204488112,2348855,-96.25841141803211,44.0230161928464
27,133,1249560755,698231,-96.25296832415442,43.67482683207148
41,031,4615975257,26213927,-121.17832003708878,44.62806838664011
30,107,3684208403,13010925,-109.84646840745194,46.46652981848805
51,109,1284976753,37794134,-77.96274920366152,37.97849712790611
27,147,1112775685,6976791,-93.22627088268706,44.02240351310225
29,131,1534831729,19140601,-92.42610898390696,38.21450287578061
27,153,2447446073,89448980,-94.89785296445876,46.06996226359222
01,057,1625693290,4330881,-87.73886637566962,33.720769377059725
19,071,1323915765,14171394,-95.60129044525029,40.74542720295939
18,021,926201724,7026279,-87.11723505858593,39.395618331296255
31,013,2784994716,6588657,-103.08837909397586,42.221657578043256
28,049,2252697076,19450105,-90.44435447976203,32.26562849854939
18,063,1053849359,4880838,-86.51185811831246,39.76966173952645
17,145,1144157907,13416186,-89.36799999769504,38.08478811954392
37,181,653708021,42184129,-78.40671175502433,36.36881360103765
20,001,1295763786,13022381,-95.30018296421234,37.88547520685518
48,093,2428768917,25719485,-98.55876440637573,31.94854688956465
20,079,1397961184,2503283,-97.42747573249952,38.04293781638387
26,057,1472098936,8369164,-84.60505416106197,43.2926560543998
20,111,2194985525,20534528,-96.15275714902438,38.4557615640978
47,159,814020540,28690306,-85.95411046377136,36.25359774966546
26,065,1440364339,11878075,-84.37472068782562,42.59716885715836
26,067,1479707916,22593308,-85.07413319020304,42.94502237561626
21,141,1430224001,12479212,-86.87763499572802,36.85949478880709
48,127,3441795368,14576536,-99.75645094643896,28.42270063894075
48,325,3432663420,23762580,-99.11030298232575,29.35573009532264
21,161,621924068,16281864,-83.82151429850815,38.594720146960924
26,085,1470021792,17522522,-85.80217299969641,43.99050893258379
27,067,2065234175,168250932,-95.00586445754108,45.15260590157419
26,107,1437746376,41762974,-85.32463223246103,43.64064262367323
37,123,1273042460,25919921,-79.9041665703524,35.331551435323746
46,037,2663788635,162128301,-97.60737498151387,45.36728100101092
37,093,1010400416,3957346,-79.23652027530382,35.01887449759842
37,125,1806977326,20720875,-79.48474634738263,35.30885422133059
21,219,969956835,6613906,-87.17878373651001,36.83811519749029
27,065,1351000098,31233444,-93.29275191903133,45.94593090304249
17,051,1855715976,22931323,-89.02451880892414,39.00072505417077
17,065,1125696542,3172088,-88.53881231609626,38.08162330018918
21,233,860132097,9211734,-87.6798995249964,37.52168355759082
48,129,2400676101,15901857,-100.81400932018292,34.96517499033252
27,003,1092919450,62411173,-93.2461889552571,45.272991645848336
48,137,5485259733,5199798,-100.30425202532794,29.982025816603144
40,073,2325960388,20612460,-97.94193268390653,35.94530008254372
48,149,2460152118,25739448,-96.92075023333776,29.877879112682898
45,003,2772864465,24646431,-81.63636498057558,33.54335250273356
46,011,2051808172,32967600,-96.79079944806449,44.36974375493766
46,103,7191808283,19906975,-102.82407707202601,44.002583629361105
48,009,2339507619,57768335,-98.68757688743564,33.615713789831695
47,029,1128782873,18734377,-83.11830035839581,35.92789753869892
48,017,2141847188,1775275,-102.82997065825083,34.06854838649122
47,043,1268830627,3682667,-87.35891708821678,36.1466983691548
46,019,5827518210,42730886,-103.50793175882949,44.90608744909392
45,023,1503893314,14261785,-81.16206929941794,34.69320765989213
72,133,88150111,111135066,-66.38701310413953,17.995333680378245
13,105,909338654,59876817,-82.83934567198501,34.11302403179976
45,041,2073312316,9754149,-79.70106796352535,34.02433441471079
27,017,2230766990,36187852,-92.67601019086325,46.591806005326966
12,029,1826212953,410630401,-83.15724673179778,29.60631085679341
27,035,2585751023,409699952,-94.0675576913548,46.480966249280854
26,013,2326913893,441619915,-88.36640302656694,46.67154650840617
38,081,2223519135,21740933,-97.63217159313756,46.10830372032028
20,009,2318705425,13926862,-98.75636725513972,38.47889676055778
18,035,1015542128,9857919,-85.39732771594628,40.227872465125934
22,093,625594223,42156577,-90.80212061438549,30.025317154910113
26,035,1461700230,28500463,-84.84821612907375,43.98797911699776
38,071,3074174316,295182398,-98.71984726963437,48.269094590234836
16,001,2724688230,22176177,-116.24155163325622,43.45265749714253
39,097,1206498201,2066974,-83.40178316992127,39.89381073260752
20,003,1501277564,10586104,-95.29272815079551,38.21413251010166
19,039,1116716166,1524746,-93.78530688258284,41.02902857550866
51,007,920143514,8424053,-77.98584649257239,37.34081024857797
13,319,1163459874,7084800,-83.17139747564077,32.80291056329709
48,507,3360268880,11208707,-99.76050829455379,28.866172382939478
39,055,1036775608,20699574,-81.17935342174442,41.4995231934608
21,071,1018602077,6269564,-82.74738957583826,37.55720367333476
48,303,2319602816,13205758,-101.82047890221038,33.61008595635008
13,273,869559691,5087422,-84.44381526419023,31.775382713965598
19,035,1494181171,423160,-95.62389402473707,42.73538914160694
16,015,4919826454,19104286,-115.73087390072699,43.989173943319734
39,071,1432479992,12194983,-83.60331455789769,39.18392639894175
17,153,515887463,10473575,-89.13085000833836,37.22631422517552
27,059,1128574114,41160302,-93.29487636172273,45.56181233749798
13,093,1016908429,12142109,-83.79748446121909,32.156308863942705
27,165,1126526388,12370135,-94.61413845727796,43.97823903371291
